Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
52,"Tuesday, May 28",MIA,H,SFG,W,11,3,,18-34,5,13.0,Richards,Samardzija,,2:51,N,6407,0.12,2,,2019
53,"Wednesday, May 29",MIA,H,SFG,W,4,2,,19-34,5,13.0,Anderson,Bumgarner,Romo,2:38,N,6487,0.14,3,,2019
54,"Thursday, May 30",MIA,H,SFG,L,1,3,,19-35,5,13.0,Moronta,Conley,Smith,3:05,D,7371,0.16,-1,,2019
55,"Friday, May 31",MIA,A,SDP,L,2,5,,19-36,5,13.0,Lucchesi,Smith,Yates,2:59,N,25019,0.14,-2,,2019
56,"Saturday, Jun 1",MIA,A,SDP,W,9,3,,20-36,5,12.0,Urena,Margevicius,,2:43,N,26858,0.12,1,,2019
57,"Sunday, Jun 2",MIA,A,SDP,W,9,3,,21-36,5,11.0,Richards,Strahm,,3:04,D,31650,0.15,2,,2019
58,"Tuesday, Jun 4",MIA,A,MIL,W,16,0,,22-36,5,10.5,Lopez,Anderson,,3:12,N,25364,0.17,3,,2019
59,"Wednesday, Jun 5",MIA,A,MIL,W,8,3,,23-36,5,10.5,Alcantara,Nelson,,3:04,N,26615,0.2,4,,2019
60,"Thursday, Jun 6",MIA,A,MIL,L,1,5,,23-37,5,11.0,Peralta,Smith,Hader,2:47,D,25409,0.24,-1,,2019
61,"Friday, Jun 7",MIA,H,ATL,L,1,7,,23-38,5,12.0,Soroka,Urena,,2:42,N,8589,0.22,-2,,2019
62,"Saturday, Jun 8",MIA,H,ATL,L,0,1,,23-39,5,13.0,Teheran,Richards,Jackson,2:57,D,9771,0.17,-3,,2019
63,"Sunday, Jun 9",MIA,H,ATL,L,6,7,12,23-40,5,13.0,Winkler,Conley,Tomlin,4:26,D,10959,0.12,-4,,2019
64,"Monday, Jun 10",MIA,H,STL,L,1,4,,23-41,5,13.0,Wacha,Alcantara,Hicks,2:49,N,6585,0.07,-5,,2019
65,"Tuesday, Jun 11",MIA,H,STL,L,1,7,,23-42,5,14.0,Hudson,Hernandez,,3:12,N,6308,0.06,-6,,2019
66,"Wednesday, Jun 12",MIA,H,STL,W,9,0,,24-42,5,14.0,Yamamoto,Mikolas,,2:34,N,7001,0.04,1,,2019
67,"Friday, Jun 14",MIA,H,PIT,L,0,11,,24-43,5,15.5,Brault,Richards,,2:56,N,8340,0.05,-1,,2019
68,"Saturday, Jun 15",MIA,H,PIT,W,4,3,,25-43,5,14.5,Lopez,Hartlieb,Romo,2:46,N,11464,0.05,1,,2019
69,"Sunday, Jun 16",MIA,H,PIT,L,4,5,,25-44,5,15.5,Rodriguez,Anderson,Vazquez,3:09,D,12472,0.05,-1,,2019
70,"Monday, Jun 17",MIA,A,STL,L,0,5,,25-45,5,16.5,Mikolas,Hernandez,,2:39,N,41274,0.05,-2,,2019
71,"Tuesday, Jun 18",MIA,A,STL,W,6,0,,26-45,5,15.5,Yamamoto,Flaherty,,2:43,N,41467,0.03,1,,2019
72,"Wednesday, Jun 19",MIA,A,STL,L-wo,1,2,11,26-46,5,16.5,Gant,Conley,,3:34,N,40126,0.04,-1,,2019
73,"Thursday, Jun 20",MIA,A,STL,W,7,6,11,27-46,5,16.0,Garcia,Miller,Romo,4:31,N,42446,0.03,1,,2019
74,"Friday, Jun 21",MIA,A,PHI,W,2,1,,28-46,5,15.0,Alcantara,Nola,Romo,2:56,N,44420,0.05,2,,2019
75,"Saturday, Jun 22",MIA,A,PHI,W,5,3,,29-46,5,15.0,Brice,Morgan,Quijada,2:43,D,44722,0.06,3,,2019
